x,y,z,rx,ry,rz
0.207583,-0.580200,0.508784,1.784000,1.291000,-0.004000
0.207583,-0.580200,0.508784,1.711616,0.986380,1.249966
0.207583,-0.580200,0.508784,1.465528,1.312584,-1.256141
0.207583,-0.580200,0.508784,1.489095,0.408960,-0.089534
0.207583,-0.580200,0.508784,0.837478,1.560624,0.124215
0.207583,-0.580200,0.508784,2.652751,0.747212,-0.160821
0.261997,-0.489746,0.451714,1.784000,1.291000,-0.004000
0.261997,-0.489746,0.451714,1.711616,0.986380,1.249966
0.261997,-0.489746,0.451714,1.465528,1.312584,-1.256141
0.261997,-0.489746,0.451714,1.489095,0.408960,-0.089534
0.261997,-0.489746,0.451714,0.837478,1.560624,0.124215
0.261997,-0.489746,0.451714,2.652751,0.747212,-0.160821
0.316412,-0.399291,0.394643,1.784000,1.291000,-0.004000
0.316412,-0.399291,0.394643,1.711616,0.986380,1.249966
0.316412,-0.399291,0.394643,1.465528,1.312584,-1.256141
0.316412,-0.399291,0.394643,1.489095,0.408960,-0.089534
0.316412,-0.399291,0.394643,0.837478,1.560624,0.124215
0.316412,-0.399291,0.394643,2.652751,0.747212,-0.160821
0.025970,-0.569719,0.352238,1.784000,1.291000,-0.004000
0.025970,-0.569719,0.352238,1.711616,0.986380,1.249966
0.025970,-0.569719,0.352238,1.465528,1.312584,-1.256141
0.025970,-0.569719,0.352238,1.489095,0.408960,-0.089534
0.025970,-0.569719,0.352238,0.837478,1.560624,0.124215
0.025970,-0.569719,0.352238,1.259865,1.973668,1.418425
0.080384,-0.479264,0.295167,1.784000,1.291000,-0.004000
0.080384,-0.479264,0.295167,1.711616,0.986380,1.249966
0.080384,-0.479264,0.295167,1.465528,1.312584,-1.256141
0.080384,-0.479264,0.295167,1.489095,0.408960,-0.089534
0.080384,-0.479264,0.295167,0.837478,1.560624,0.124215
0.134798,-0.388809,0.238097,1.784000,1.291000,-0.004000
0.134798,-0.388809,0.238097,1.711616,0.986380,1.249966
0.134798,-0.388809,0.238097,1.465528,1.312584,-1.256141
0.134798,-0.388809,0.238097,1.489095,0.408960,-0.089534
0.134798,-0.388809,0.238097,0.837478,1.560624,0.124215
0.274030,-0.340281,0.447762,1.784000,1.291000,-0.004000
0.274030,-0.340281,0.447762,1.711616,0.986380,1.249966
0.274030,-0.340281,0.447762,1.465528,1.312584,-1.256141
0.274030,-0.340281,0.447762,1.489095,0.408960,-0.089534
0.274030,-0.340281,0.447762,0.837478,1.560624,0.124215
0.274030,-0.340281,0.447762,2.652751,0.747212,-0.160821
0.219616,-0.430736,0.504833,1.784000,1.291000,-0.004000
0.219616,-0.430736,0.504833,1.711616,0.986380,1.249966
0.219616,-0.430736,0.504833,1.465528,1.312584,-1.256141
0.219616,-0.430736,0.504833,1.489095,0.408960,-0.089534
0.219616,-0.430736,0.504833,0.837478,1.560624,0.124215
0.219616,-0.430736,0.504833,2.652751,0.747212,-0.160821
0.165202,-0.521191,0.561903,1.784000,1.291000,-0.004000
0.165202,-0.521191,0.561903,1.711616,0.986380,1.249966
0.165202,-0.521191,0.561903,1.465528,1.312584,-1.256141
0.165202,-0.521191,0.561903,1.877288,2.248588,0.110533
0.165202,-0.521191,0.561903,1.489095,0.408960,-0.089534
0.165202,-0.521191,0.561903,0.837478,1.560624,0.124215
0.165202,-0.521191,0.561903,2.652751,0.747212,-0.160821
0.092417,-0.329800,0.291216,1.784000,1.291000,-0.004000
0.092417,-0.329800,0.291216,1.711616,0.986380,1.249966
0.092417,-0.329800,0.291216,1.465528,1.312584,-1.256141
0.092417,-0.329800,0.291216,1.489095,0.408960,-0.089534
0.092417,-0.329800,0.291216,0.837478,1.560624,0.124215
0.038003,-0.420254,0.348286,1.784000,1.291000,-0.004000
0.038003,-0.420254,0.348286,1.711616,0.986380,1.249966
0.038003,-0.420254,0.348286,1.465528,1.312584,-1.256141
0.038003,-0.420254,0.348286,1.489095,0.408960,-0.089534
0.038003,-0.420254,0.348286,0.837478,1.560624,0.124215
-0.016412,-0.510709,0.405357,1.784000,1.291000,-0.004000
-0.016412,-0.510709,0.405357,1.711616,0.986380,1.249966
-0.016412,-0.510709,0.405357,1.465528,1.312584,-1.256141
-0.016412,-0.510709,0.405357,1.489095,0.408960,-0.089534
-0.016412,-0.510709,0.405357,0.837478,1.560624,0.124215
-0.016412,-0.510709,0.405357,1.259865,1.973668,1.418425
